"id","eudractNumber","randomised","double_blind","therapeutic_area","condition_is_diabetes","subjects_exposed_total","nonserious_ae_count","deaths_total","mortality_percent","condition_text"
"2004-004996-12-BE","2004-004996-12",1,1,"Unknown",1,NA,NA,NA,NA,"Diabetic macular Edema"
"2004-004997-10-IT","2004-004997-10",1,1,"Diseases C - Eye Diseases C11",1,NA,NA,NA,NA,"diabetic macular edema"
"2004-005024-40-DK","2004-005024-40",1,1,"Unknown",1,NA,NA,NA,NA,"Painful Diabetic Neuropathy"
"2004-005045-35-SE","2004-005045-35",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes"
"2004-005243-97-BE","2004-005243-97",0,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes Mellitus"
"2005-000093-50-ES","2005-000093-50",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes Mellitus"
"2005-000407-34-NO","2005-000407-34",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes Mellitus"
"2005-000473-22-SK","2005-000473-22",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes"
"2005-000517-36-BE","2005-000517-36",NA,0,"Unknown",0,NA,NA,NA,NA,"maintenance of liver transplant"
"2005-000566-40-HU","2005-000566-40",1,0,"Unknown",1,NA,NA,NA,NA,"Patients with type 1 diabetes mellitus and many patients with type 2 diabetes mellitus require daily use of insulin for the maintenance of normal glucose homeostasis.  At present, insulin can be delivered only by injection.  The availability of noninjectable routes of insulin administration may eliminate a barrier to effective therapy and improve the quality of life for many patients with diabetes."
"2005-000715-98-BE","2005-000715-98",1,1,"Unknown",0,NA,NA,NA,NA,"atrial fibrillation/atrial flutter"
"2005-000899-40-IT","2005-000899-40",1,1,"Diseases C - Hormonal diseases C19",1,NA,NA,NA,NA,"previous gestational diabetes GDM and altered glucose metabolism in the post-partum period Impaired Fasting Glucose or Impaired Gluocse Tolerance"
"2005-000900-15-ES","2005-000900-15",1,1,"Unknown",1,NA,NA,NA,NA,"Diabetic Macular Edema DME, is the most common cause of visual impairment in patients with diabetic retinopathy DR. It is the accumulation of extracellular fluid in the retinal tissues of the macula and is a microvascular complication of diabetes. In this study patients will have macular edema that meets the Early Treatment Diabetic Retinopathy Study ETDRS criteria for clinically significant macular edema CSME, but patients with imminently vision threatening macular edema are excluded."
"2005-000904-15-DE","2005-000904-15",1,1,"Unknown",1,NA,NA,NA,NA,"Type 1 diabetes, recently diagnosed"
"2005-000976-42-ES","2005-000976-42",1,0,"Unknown",1,NA,NA,NA,NA,"Type 2 diabetes"
"2005-001038-34-DE","2005-001038-34",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes Mellitus and Combined Dyslipidemia"
"2005-001059-39-BE","2005-001059-39",1,1,"Unknown",0,18144,1425,672,3.7037037037037,"Primary Hyperlipidermia"
"2005-001373-97-DE","2005-001373-97",0,NA,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes Mellitus"
"2005-001460-32-BE","2005-001460-32",1,1,"Unknown",1,NA,NA,NA,NA,"Diabetic Macular Edema DME"
"2005-001613-17-DE","2005-001613-17",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetic Patients Inadequately Controlled with Insulin"
"2005-002115-24-ES","2005-002115-24",0,0,"Unknown",1,NA,NA,NA,NA,"Diabetes tipo II"
"2005-002199-14-ES","2005-002199-14",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes"
"2005-002313-21-DE","2005-002313-21",1,1,"Unknown",0,NA,NA,NA,NA,"Treatment of patients with primary dyslipidaemia currently taking simvastatin 20mg or 40mg"
"2005-002316-24-DE","2005-002316-24",1,1,"Unknown",0,NA,NA,NA,NA,"Treatment of patients with primary dyslipidaemia"
"2005-002546-20-PT","2005-002546-20",1,1,"Diseases C - Cancer C04",0,5752,4273,18,0.312934631432545,"For active immunization of girls and women from 10 years of age onwards for the prevention of persistent human papillomavirus HPV infections and related clinical outcomes cytological abnormalities and pre-cancerous lesions caused by oncogenic HPV types 16 and 18."
"2005-002590-73-ES","2005-002590-73",1,1,"Unknown",1,NA,NA,NA,NA,"Type I Diabetes"
"2005-002607-17-BE","2005-002607-17",1,1,"Unknown",1,NA,NA,NA,NA,"Male hypogonadism is generally characterised by abnormally low serum testosterone levels. Symptoms include changes in mood, decreased bone mineral density, increased body fat, decreased muscle mass and strength and sexual dysfunction. A number of conditions can also be associated with decreased testosterone production including metabolic syndrome, type II diabetes mellitus, atherosclerosis, myocardial infarction and chronic heart failure"
"2005-002765-37-BE","2005-002765-37",1,0,"Diseases C - Cancer C04",0,1946,33,48,2.46659815005139,"Supradiaphragmatic stage I/II Hodgkins lymphoma"
"2005-002778-30-ES","2005-002778-30",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes"
"2005-002817-19-BE","2005-002817-19",1,1,"Unknown",0,NA,NA,NA,NA,"Prevention of cytomegalovirus CMV disease in kidney transplant recipients"
"2005-002920-32-DE","2005-002920-32",1,0,"Unknown",0,NA,NA,NA,NA,"prophylaxis of organ rejections in adult patients after liver transplantation"
"2005-002942-20-BE","2005-002942-20",1,1,"Unknown",0,NA,NA,NA,NA,"Patients with abdominal obesity at increased risk for cardiovascular events myocardial infarctio, stroke and cardiovascular death"
"2005-003270-14-DE","2005-003270-14",1,1,"Unknown",0,NA,NA,NA,NA,"Study in patients with mixed dyslipidemia at risk of cardiovascular disease not adequately controlled by 20 mg simvastatin alone"
"2005-003281-41-IE","2005-003281-41",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes Mellitus"
"2005-003414-15-IT","2005-003414-15",1,1,"Unknown",1,NA,NA,NA,NA,"Diabetes Mellitus"
"2005-003415-71-IT","2005-003415-71",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes Mellitus"
"2005-003417-32-BE","2005-003417-32",1,1,"Unknown",1,NA,NA,NA,NA,"Diabetes Mellitus"
"2005-003434-18-BE","2005-003434-18",1,0,"Unknown",0,NA,NA,NA,NA,"Older women 66 years of age or older with histologically proven, resected breast cancer. The disease must be classified as endocrine nonresponsive and patients must not be candidates for endocrine therapy or for an adjuvant chemotherapy program which includes a standard anthracycline-containing chemotherapy regimen."
"2005-003504-11-ES","2005-003504-11",1,0,"Unknown",1,NA,NA,NA,NA,"Type 2 diabetes mellitus"
"2005-003714-15-DE","2005-003714-15",1,NA,"Unknown",1,NA,NA,NA,NA,"Es geht um keine therapeutische Fragestellung. In dem geplannten Versuche sollen die Effekte des Glukagons i.m/i.v. auf die GH-, Cortisol-, Insulin-, Glukose-, Ghrelin-, GLP-1-, IGFBP-1- und Katecholamine-Konzentrationen in Gesunden sowie in den Typ 1 Diabetikern untersucht werden."
"2005-003894-26-ES","2005-003894-26",1,1,"Unknown",0,NA,NA,NA,NA,"Prevention of Stroke and Systemic Embolism in patients with Atrial Fibrillation"
"2005-004188-50-DE","2005-004188-50",0,NA,"Unknown",1,NA,NA,NA,NA,"Diabetic Peripheral Neuropathic Pain"
"2005-004250-28-BE","2005-004250-28",1,NA,"Unknown",0,NA,NA,NA,NA,"COMPLICATED SKIN AND SKIN STRUCTURE INFECTION"
"2005-004411-29-DE","2005-004411-29",1,1,"Unknown",0,NA,NA,NA,NA,"Smoking Cessation"
"2005-004598-20-IT","2005-004598-20",1,0,"Unknown",0,NA,NA,NA,NA,"Secondary prevention of myocardial infarction."
"2005-004667-36-ES","2005-004667-36",1,1,"Unknown",1,NA,NA,NA,NA,"Diabetes mellitus Tipo 2 Type II diabetes mellitus."
"2005-004668-22-ES","2005-004668-22",1,1,"Unknown",1,NA,NA,NA,NA,"Diabetes mellitus tipo 2 Type II diabetes mellitus."
"2005-004669-40-ES","2005-004669-40",1,1,"Unknown",1,NA,NA,NA,NA,"Diabetes mellitus tipo 2 Type II diabetes mellitus."
"2005-004670-24-CZ","2005-004670-24",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes mellitus."
"2005-004671-38-ES","2005-004671-38",1,1,"Unknown",1,NA,NA,NA,NA,"Diabetes mellitus Tipo 2 Type II diabetes mellitus."
"2005-004672-20-CZ","2005-004672-20",1,0,"Unknown",1,NA,NA,NA,NA,"Type II diabetes mellitus."
"2005-004695-20-DE","2005-004695-20",1,0,"Unknown",0,299,66,31,10.3678929765886,"Prevention of cytomegalovirus CMV disease in kidney transplant recipients"
"2005-004798-60-DE","2005-004798-60",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes"
"2005-005093-70-ES","2005-005093-70",1,1,"Unknown",0,NA,NA,NA,NA,"Hypercholesterolaemia"
"2005-005378-58-ES","2005-005378-58",1,0,"Unknown",1,NA,NA,NA,NA,"Diabetes Mellitus"
"2005-005448-21-ES","2005-005448-21",1,0,"Unknown",1,NA,NA,NA,NA,"Diabetes Mellitus tipo 2"
"2005-005749-20-HU","2005-005749-20",0,NA,"Unknown",0,NA,NA,NA,NA,"essentialis hypertnia"
"2005-005788-27-ES","2005-005788-27",1,1,"Unknown",1,NA,NA,NA,NA,"Neuropata diabtica distal dolorosa Painful distal diabetic neuropathy"
"2005-006041-16-DE","2005-006041-16",1,1,"Unknown",1,NA,NA,NA,NA,"Combined Dyslipidemia and Type II Diabetes Mellitus"
"2005-006060-63-DE","2005-006060-63",1,1,"Unknown",1,NA,NA,NA,NA,"Patients with type 2 diabetes mellitus and dyslipidemia"
"2005-006164-59-GB","2005-006164-59",1,NA,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes"
"2006-000006-23-DE","2006-000006-23",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes Mellitus"
"2006-000051-18-FR","2006-000051-18",1,0,"Unknown",1,347,16,0,0,"Type I Diabetes"
"2006-000192-14-ES","2006-000192-14",1,1,"Unknown",0,NA,NA,NA,NA,"Subjects with coronary atherosclerosis who require PCI with or without stent. Sujetos con ateroesclerosis coronaria que precisan una ICP con o sin stent"
"2006-000247-26-ES","2006-000247-26",1,NA,"Unknown",1,NA,NA,NA,NA,"Diabetes Tipo 2 Este estudio paralelo incluye 3 grupos de tratamiento: pacientes que siguen con un rgimen intensificado de insulina glargina, pacientes que interrumpen la insulina glargina una vez al da e inician la IHPI con las comidas y pacientes que continan con la insulina glargina una vez al da, pero aaden IHPI con las comidas."
"2006-000497-80-BE","2006-000497-80",1,NA,"Unknown",1,NA,NA,NA,NA,"Male or female nonsmoking patients 18 years of age or older who have had type 1 diabetes mellitus for at least 24 months at study entry and are taking at least 2 or 3 preprandial injections per day for at least 2 months, have FEV1 and DLCO 70 predicted, and have an HbA1c less or equal 11.0 at screening."
"2006-000515-15-GR","2006-000515-15",1,1,"Unknown",0,NA,NA,NA,NA,"Study in patients with mixed dyslipidemia at risk of cardiovascular disease not adequately controlled by 40 mg pravastatin alone."
"2006-000519-21-DE","2006-000519-21",1,1,"Unknown",0,NA,NA,NA,NA,"Study in patients with mixed dyslipidemia at risk of cardiovascular disease not adequately controlled by 10 mg atorvastatin alone"
"2006-000658-27-BE","2006-000658-27",1,1,"Unknown",0,NA,NA,NA,NA,"non-ST and ST elevation acute coronary syndromes ACS"
"2006-000694-30-EE","2006-000694-30",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes Mellitus"
"2006-000725-54-IT","2006-000725-54",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 diabetes and metabolic syndrome  IDF definition"
"2006-000796-15-ES","2006-000796-15",1,0,"Unknown",1,NA,NA,NA,NA,"Diabetes tipo 2"
"2006-000924-15-DE","2006-000924-15",1,1,"Unknown",1,NA,NA,NA,NA,"Patients with type 2 diabetes mellitus and dyslipidemia not appropriately controlled with a statin"
"2006-001138-42-ES","2006-001138-42",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes"
"2006-001218-34-SE","2006-001218-34",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes"
"2006-001219-31-DE","2006-001219-31",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes"
"2006-001240-30-BE","2006-001240-30",1,1,"Unknown",1,NA,NA,NA,NA,"Diabetes mellitus non insulino dependant"
"2006-001246-13-ES","2006-001246-13",1,1,"Unknown",0,NA,NA,NA,NA,"Locally advanced or metastatic renal clear cell adenocarcinoma"
"2006-001335-22-IT","2006-001335-22",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes mellitus"
"2006-001392-37-AT","2006-001392-37",1,1,"Unknown",1,NA,NA,NA,NA,"type 2 diabetes mellitus"
"2006-001598-10-GB","2006-001598-10",1,1,"Unknown",1,NA,NA,NA,NA,"Diabetic Neuropathy"
"2006-001599-18-BE","2006-001599-18",1,1,"Unknown",0,NA,NA,NA,NA,"complicated skin and skin structure Infections"
"2006-001885-17-DK","2006-001885-17",1,1,"Unknown",1,NA,NA,NA,NA,"Cardiovascular disease: History of myocardial infarction or cerebrovascular atherosclerotic disease history of presumed ischaemic stroke, transient ischaemic attack or carotid revascularisation or peripheral arterial disease i.e. intermittent claudication or history of revascularisation or diabetes mellitus with any of the above or with other evidence of symptomatic coronary heart disease."
"2006-001898-25-ES","2006-001898-25",1,1,"Unknown",0,NA,NA,NA,NA,"Resistant hypertension La hipertensin arterial resistente"
"2006-002147-91-BE","2006-002147-91",1,1,"Unknown",0,NA,NA,NA,NA,"ARRHYTHMIA THROMBOSIS"
"2006-002257-76-BE","2006-002257-76",1,1,"Unknown",1,NA,NA,NA,NA,"Subjects with diabetes with a qualifying foot infection."
"2006-002271-41-DE","2006-002271-41",1,1,"Unknown",1,NA,NA,NA,NA,"Patients with Type 2 Diabetes mellitus and HbA1c  6,5, but  8,5 and/ or fasting plasma glucose  7 mmol/l will be eligible for the study"
"2006-002466-19-ES","2006-002466-19",1,1,"Unknown",1,NA,NA,NA,NA,"Diabetes tipo 2"
"2006-002478-23-FR","2006-002478-23",0,0,"Unknown",1,146,232,0,0,"Type 1 Diabetes"
"2006-002488-20-IT","2006-002488-20",1,1,"Unknown",1,NA,NA,NA,NA,"diabetes"
"2006-002616-96-ES","2006-002616-96",1,1,"Unknown",0,349,12,0,0,"Hipercolesterolemia familiar heterocigota HFHe"
"2006-002794-51-DE","2006-002794-51",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes"
"2006-002809-31-BE","2006-002809-31",1,1,"Unknown",0,NA,NA,NA,NA,"Acute Coronary Syndrome"
"2006-002848-28-FR","2006-002848-28",1,0,"Unknown",1,NA,NA,NA,NA,"Patients with type 2 diabetes T2DM and dyslipidemia."
"2006-002951-33-ES","2006-002951-33",1,1,"Body processes G - Metabolic Phenomena G03",1,NA,NA,NA,NA,"Patients with abdominal obesity, with type 2 diabetes mellitus or dyslipidaemia, with or without other cardiometabolic risk factors."
"2006-002999-17-BE","2006-002999-17",1,0,"Unknown",1,NA,NA,NA,NA,"Male or non pregnant female nonsmoking patients, 18 years of age or older: have had type 2 diabetes mellitus for at least 6 months, and have been treated with one or more oral antihyperglycemic medications for at least 6 weeks 12 weeks for thiazolidinediones TZDs, and are insulin-nave as defined in the protocol, have HbA1c 7.0 and 10.5, and FEV1 and DLCO 70 of predicted value"
"2006-003107-39-DE","2006-003107-39",1,1,"Unknown",0,NA,NA,NA,NA,"Hypercholesterolemia"
"2006-003132-29-BE","2006-003132-29",1,0,"Unknown",1,NA,NA,NA,NA,"postherpetic neuralgia and painful diabetic polyneuropathy"
"2006-003547-23-BE","2006-003547-23",1,1,"Unknown",0,NA,NA,NA,NA,"Resistant hypertension"
"2006-003604-19-BE","2006-003604-19",1,1,"Unknown",0,NA,NA,NA,NA,"ULCERATIVE COLITIS,NOS"
"2006-003771-12-DE","2006-003771-12",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes"
"2006-003935-56-ES","2006-003935-56",1,1,"Unknown",0,NA,NA,NA,NA,"Subjects with coronary atherosclerosis excluding ST segment-elevation MI STEMI who require PCI with or without stent. Sujetos con ateroesclerosis coronaria excluyendo el IM por elevacin del segmento ST STEMI que necesiten una ICP con o sin endoprtesis vascular Stent"
"2006-004111-22-BE","2006-004111-22",1,1,"Unknown",0,162,6,0,0,"Cushings disease is rare disease that is caused by an adrenocorticotropic hormone ACTH secreting pituitary adenoma. The elevated ACTH secreted by these tumors stimulates the adrenal glands to produce excess cortisol, leading to the subsequent development of the clinical signs and symptoms of hypercortisolism. Cushings disease is associated with severe morbidity and premature mortality and most commonly affects adults aged 20-50, primarily females"
"2006-004455-37-DE","2006-004455-37",1,1,"Unknown",1,NA,NA,NA,NA,"Patients with Type 2 Diabetes mellitus HbA1c  6.5 and /  9 and diabetic dylipidemia inefficiently treated with Metformin monotherapy maximal individually tolerated dose will be eligible for this trial."
"2006-004467-65-DE","2006-004467-65",1,1,"Unknown",1,NA,NA,NA,NA,"nephropathy after renal transplantation in patients with type 2 diabetes"
"2006-004595-13-BE","2006-004595-13",1,1,"Unknown",0,NA,NA,NA,NA,"Prevention of Stroke and Non-CNS Systemic Embolism in Non-Valvular Atrial Fibrillation"
"2006-004623-12-BE","2006-004623-12",1,0,"Unknown",1,NA,NA,NA,NA,"Type 2 diabetes"
"2006-004702-56-ES","2006-004702-56",1,1,"Unknown",0,NA,NA,NA,NA,"Adult Patients in Chronic  Dialysis APCD  Pacientes Adultos en Dilisis Crnica PADC"
"2006-004733-15-DE","2006-004733-15",1,1,"Unknown",1,NA,NA,NA,NA,"Type I diabetes"
"2006-004861-33-ES","2006-004861-33",1,0,"Unknown",1,NA,NA,NA,NA,"Diabetes tipo 1"
"2006-004888-54-ES","2006-004888-54",1,1,"Unknown",0,NA,NA,NA,NA,"Enfermedad de Alzheimer Alzheimers Disease"
"2006-004942-18-BE","2006-004942-18",1,1,"Unknown",0,NA,NA,NA,NA,"sleep maintenance insomnia"
"2006-005047-28-DE","2006-005047-28",1,1,"Unknown",1,NA,NA,NA,NA,"The current study will support an indication for rivoglitazone as oral monotherapy to improve glycemic control in subjects with type 2 diabetes mellitus not adequately controlled with diet and exercise alone."
