"id","eudractNumber","randomised","double_blind","therapeutic_area","condition_is_diabetes","subjects_exposed_total","nonserious_ae_count","deaths_total","mortality_percent","condition_text"
"2012-004879-38-BE","2012-004879-38",1,0,"Diseases C - Cancer C04",0,442,124,11,2.48868778280543,"HER2-positive, operable, locally advanced or inflammatory early breast cancer."
"2012-004902-82-BE","2012-004902-82",1,0,"Diseases C - Cancer C04",0,1838,1227,100,5.44069640914037,"HER2-positive operable primary breast cancer."
"2013-000123-13-BE","2013-000123-13",0,0,"Diseases C - Cancer C04",0,101,62,2,1.98019801980198,"TO INVESTIGATE THE AT HOME ADMINISTRTATION  OF TRASTUZUMAB SUBCUTANEOUS VIAL FOR THE TREATMENT OF PATIENTS WITH HER2-POSITIVE EARLY BREAST CANCER."
"2013-000829-31-NL","2013-000829-31",0,0,"Diseases C - Cancer C04",0,125,484,2,1.6,"HER2-positive early breast cancer"
"2013-001161-16-IT","2013-001161-16",0,0,"Diseases C - Cancer C04",0,228,28,7,3.07017543859649,"EARLY AND LOCALLY ADVANCED HER2-POSITIVE BREAST CANCER"
"2013-001352-34-ES","2013-001352-34",1,1,"Diseases C - Cancer C04",0,702,256,112,15.954415954416,"Metastatic Breast Cancer"
"2013-004525-84-ES","2013-004525-84",1,1,"Diseases C - Cancer C04",0,549,125,36,6.55737704918033,"Her-2 Positive Early Breast Cancer"
"2013-004679-11-IT","2013-004679-11",1,1,"Diseases C - Cancer C04",0,225,107,1,0.444444444444444,"HER2-Positive Breast Cancer Early Stage"
"2014-000619-14-DE","2014-000619-14",1,0,"Diseases C - Cancer C04",0,945,903,2,0.211640211640212,"Patients with primary breast cancer"
"2014-001458-40-BE","2014-001458-40",0,0,"Diseases C - Cancer C04",0,412,2791,87,21.1165048543689,"HER2POSITIVE METASTATIC OR LOCALLY RECURRENT ADVANCED BREAST CANCER"
"2015-000380-13-BE","2015-000380-13",1,0,"Diseases C - Cancer C04",0,618,143,468,75.7281553398058,"Metastatic or Locally Advanced HER2-positive Breast Cancer"
"2016-001432-35-BE","2016-001432-35",1,1,"Diseases C - Cancer C04",0,889,456,763,85.8267716535433,"Triple-Negative Breast Cancer"
"2016-002453-38-BE","2016-002453-38",1,0,"Diseases C - Cancer C04",0,167,85,117,70.059880239521,"Metastatic breast cancer with stable brain metastases"
"2016-003984-20-DE","2016-003984-20",1,0,"Diseases C - Cancer C04",0,458,108,417,91.0480349344978,"Advanced or Metastatic Gastric Cancer"
"2017-001994-18-BE","2017-001994-18",1,0,"Diseases C - Cancer C04",0,425,113,275,64.7058823529412,"breast tumours"
"2017-004897-32-BE","2017-004897-32",1,0,"Diseases C - Cancer C04",0,500,102,26,5.2,"Human epidermal growth factor receptor 2 HER2-positive Early Breast Cancer."
"2018-000221-31-BE","2018-000221-31",1,0,"Diseases C - Cancer C04",0,599,140,229,38.2303839732888,"Unresectable/metastatic breast cancer with human epidermal growth factor receptor 2 HER2-positive expression"
"2018-000222-61-BE","2018-000222-61",1,0,"Diseases C - Cancer C04",0,518,144,169,32.6254826254826,"Unresectable/metastatic breast cancer with human epidermal growth factor receptor 2 HER2-positive expression"
"2018-000236-97-HU","2018-000236-97",1,1,"Diseases C - Cancer C04",0,338,13,1,0.29585798816568,"HER-2 positive breast cancer"
"2018-001881-40-ES","2018-001881-40",1,1,"Diseases C - Cancer C04",0,451,94,24,5.32150776053215,"Early Human epidermal growth factor receptor 2 HER2-positive breast cancer"
"2018-003069-33-BE","2018-003069-33",1,0,"Diseases C - Cancer C04",0,543,181,239,44.0147329650092,"Unresectable and/or metastatic breast cancer that is human epidermal growth factor receptor 2 HER2-low"
"2019-004699-21-DE","2019-004699-21",1,0,"Diseases C - Cancer C04",0,81,33,30,37.037037037037,"Metastatic or Locally Advanced, Treatment-nave, HER2-Positive Gastric or Gastroesophageal Junction Cancer"
"2020-002818-41-DE","2020-002818-41",1,1,"Diseases C - Cancer C04",0,96,4,9,9.375,"Locally advanced / metastatic breast cancer"
"2020-004035-24-BE","2020-004035-24",1,1,"Diseases C - Cancer C04",0,111,18,0,0,"High-Risk, Node-Positive, HR+, HER2+ Breast Cancer"
"2021-000398-10-BE","2021-000398-10",1,1,"Diseases C - Cancer C04",0,NA,NA,NA,NA,"Breast cancer"
"2005-002084-85-DK",NA,1,0,"Unknown",0,NA,NA,NA,NA,"Patients with HER2 positive metastatic breast cancer and progression after previous treatment with trastuzumab"
"2006-001707-11-NL",NA,1,1,"Unknown",0,NA,NA,NA,NA,"WHO: 0-2 Serum creatinine 140 umol/l Thyroid stimulating hormone between 0.5-3.9 MU/l. Blood pressure systolic  140 mmHg diastolic  90 mmHg is acceptable at randomization. LVEF  50  assessed by multigated angiography MUGA or cardiac ultrasound"
"2007-002016-26-FI",NA,1,0,"Unknown",0,NA,NA,NA,NA,"Invasive early breast cancer that has been removed by surgery."
"2011-005189-39-ES",NA,1,0,"Diseases C - Cancer C04",0,NA,NA,NA,NA,"HER 2 - positive metastatic breast cancer"
"2012-003679-21-DE",NA,0,0,"Diseases C - Cancer C04",0,NA,NA,NA,NA,"Early primary breast cancer, hormone receptor positve or negative, HER2 negative, any nodal status"
"2014-002249-22-DE",NA,1,0,"Diseases C - Cancer C04",0,NA,NA,NA,NA,"Patients with HER2-positive and hormone-receptor positive metastatic breast cancer"
"2019-002741-37-BE",NA,1,1,"Diseases C - Cancer C04",0,NA,NA,NA,NA,"HER2-positive advanced breast cancer"
"2020-005048-46-BE",NA,0,0,"Diseases C - Cancer C04",0,NA,NA,NA,NA,"Treatment of patients with HER2-positive breast cancer with or without brain metastasis"
"2021-000603-21-ES",NA,1,0,"Diseases C - Cancer C04",0,NA,NA,NA,NA,"Early stage HER2-positive breast cancer T stage  T3, lymph node positive, or inflammatory"
